Office_Level_ID,Office_Level_Name,Office_Name,Office_ID,Parent_Office_Id,Parent_Office_Name,Office_District_Id,Office_District_Name,Parent_district_Id,Parent_District_Name,Office_Address,Office_Short_Name,DT_updated,DT_created/date,DT_created/timezone_type,DT_created/timezone,Org_Office_Type,Office_Type_Id,DT_updated/date,DT_updated/timezone_type,DT_updated/timezone
1,State,"Executive Engineer (Rural Design-I),Jaipur",3006066,3005965,Public Health Engineering,50016,Jaipur,50016,Jaipur,VP DHANLA,"EE(RD-I), Jaipur",,2017-06-20 11:48:28.000000,3,Asia/Kolkata,Division,584,,,
1,State,"Executive Engineer (Rural Design-II), Jaipur",3006067,3005965,Public Health Engineering,50016,Jaipur,50016,Jaipur,GOVT HOSP SOJAT CAMPUS,"EE (RD-II), Jaipur",,2017-06-20 11:51:02.000000,3,Asia/Kolkata,Division,584,,,
1,State,"Executive Engineer (Urban Design-II), Jaipur",3006072,3005937,Public Health Engineering,50016,Jaipur,50016,Jaipur,629 SHANTI NAGAR NEAR DURGAPURA RAILWAY STATION,"EE (UD-II), Jaipur",,2017-06-20 13:32:11.000000,3,Asia/Kolkata,Division,584,,,
1,State,"Executive Engineer DIPM-I, Jaipur",3006087,3005968,Public Health Engineering,50016,Jaipur,50016,Jaipur,"Mochi Mohalla ,Village - Shambhugarh","EEDIPM-I, Jaipur",,2017-06-20 15:37:00.000000,3,Asia/Kolkata,Division,584,,,
1,State,"Executive Engineer DIPM-II, Jaipur",3006093,3005936,Public Health Engineering,50016,Jaipur,50016,Jaipur,Quater No 3 CHC Campus SamdariBarmer,"EEDIPM-II, Jaipur",,2017-06-20 16:03:37.000000,3,Asia/Kolkata,Division,584,,,
7,Division,"Office of Junior Chemist Laboratory PHED, Pali",3020326,3020301,Public Health Engineering,50025,Pali,50016,Jaipur,VILLAGE-BHAGWAT PURAPOST-BIDASAR VIA-BISSAU,"PHED Laboratory, Pali",,2018-02-20 15:33:31.000000,3,Asia/Kolkata,Laboratory,468,2021-02-05 13:24:40.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Revenue Bhilwara",3019444,3006001,Public Health Engineering,50007,Bhilwara,50016,Jaipur,V/p.Jaroda,"AEN, PHED, Sub Divi. Rev., Bhilwara",,2018-02-05 12:40:15.000000,3,Asia/Kolkata,Sub Division,582,2021-03-04 17:19:47.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division-I Rural, Barmer",3019412,3006137,Public Health Engineering,50005,Barmer,50016,Jaipur,AMRIT LAL BOHRAPANCHMURTI KUE KE SAMNE SARDARPURA MARG NO 2 FOREST DEWAR KE PASS,"AEN, PHED, Sub Divi.-I Rural, Barmer",,2018-02-02 12:23:04.000000,3,Asia/Kolkata,Sub Division,582,2021-03-16 11:47:51.000000,3,Asia/Kolkata
1,State,"Office of Additional Chief Engineer (Support Activities), Jaipur",3034350,3005939,Public Health Engineering,50016,Jaipur,50016,Jaipur,Vill-KaroliTh-Alwar,"Additional Chief Engineer (Support Activities), Jaipur",,2020-04-19 15:30:31.000000,3,Asia/Kolkata,State,1339,2023-02-27 14:42:46.000000,3,Asia/Kolkata
7,Division,"Office of Senior Chemist Laboratory PHED, Sikar",3020330,3020301,Public Health Engineering,50029,Sikar,50016,Jaipur,VPO DEWLANPOST GANESHPUR,"PHED Laboratory, Sikar",,2018-02-20 15:35:24.000000,3,Asia/Kolkata,Laboratory,468,2023-04-18 16:10:17.000000,3,Asia/Kolkata
6,District,"Office of executive engineer public health engineering department division Kathumar, Alwar",3058640,3005944,Public Health Engineering,50002,Alwar,50016,Jaipur,"h. 107-108, suryanagartitradi, udaipur",Div  Kathumar ,,2023-04-20 13:23:05.000000,3,Asia/Kolkata,Division,584,,,
6,District,Office of Executive Engineer Division Sikrai,3058795,3005958,Public Health Engineering,50012,Dausa,50016,Jaipur,village post garniyatehsil jaitaran,EE SIKRAI ,,2023-04-28 11:18:02.000000,3,Asia/Kolkata,Division,584,,,
7,Division,"Office of Senior Chemist Laboratory PHED, Bhilwara",3020310,3020301,Public Health Engineering,50007,Bhilwara,50016,Jaipur,VILLAGE POST BHOBHIYA THE. CHIDAVA,"PHED Laboratory, Bhilwara",,2018-02-20 13:27:01.000000,3,Asia/Kolkata,Laboratory,468,2023-04-28 12:59:19.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Production Bhilwara",3034592,3006001,Public Health Engineering,50007,Bhilwara,50016,Jaipur,48 A blocknear civil hospital srikaranpur,"AEN,PHED,Sub Divi. Production Bhilwara",,2020-07-30 14:25:04.000000,3,Asia/Kolkata,Sub Division,582,2023-07-14 12:21:53.000000,3,Asia/Kolkata
